SUMMARY;DESCRIPTION;DTSTART;DTEND;LOCATION;CATEGORIES;UID
R1.01c;RT1-TP_A2 MARTINI PIERRE;20251020T140000Z;20251020T160000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31313131332d302d34
SAE1.02 CM;RT1-S1 MATICHARD PIERRE-JEAN;20251202T120000Z;20251202T130000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d31383435372d302d30
SAE1.04 PROJET;RT1-TP_B1;20251117T150000Z;20251117T160000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d33303532352d302d37
R1.01c;RT1-TP_B1 MARTINI PIERRE;20251015T060000Z;20251015T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31303935352d302d32
SAE1.02 PROJET;RT1-TP_A2;20251215T080000Z;20251215T090000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31383436312d322d32
SAE1.03 SUIVI;RT1-TP_A2 HEYRAUD CHRISTOPHE;20251020T080000Z;20251020T090000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32373836372d302d33
SAE1.04 SUIVI PROJET;RT1-TP_B1 MATICHARD PIERRE-JEAN;20251203T070000Z;20251203T080000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d33303533322d302d31
SAE1.03;RT1-TP_A2;20251117T103000Z;20251117T113000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383633392d312d33
R1.04 TP;RT1-TP_A1 AZZOUNI SOUMAYA;20251201T130000Z;20251201T150000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31313933302d302d37
SAE1.03 SUIVI;RT1-TP_B1 HEYRAUD CHRISTOPHE;20251113T080000Z;20251113T090000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32383031342d302d31
R1.09;RT1-TP_B1 LLORCA MAUD;20251010T120000Z;20251010T140000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d32383430362d302d31
SAE1.04 PROJET;RT1-TP_B1;20251107T070000Z;20251107T080000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d33303532352d302d32
R1.08;RT1-TP_A2 MARTINI PIERRE;20250923T080000Z;20250923T100000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31363236312d302d34
SAE1.01;RT1-TP_A1;20250926T070000Z;20250926T080000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31363531342d312d32
SAE1.04 SUIVI PROJET;RT1-TP_A2 MATICHARD PIERRE-JEAN;20251204T070000Z;20251204T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d33303533312d302d32
R1.05;RT1-TP_B2 HEYRAUD CHRISTOPHE;20250922T120000Z;20250922T150000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d3938322d302d31
R1.15;RT1-B BOURAMTANE KHALIL;20250924T060000Z;20250924T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31393832302d312d30
SAE1.05 PROJET A2;RT1-TP_A2;20260106T130000Z;20260106T140000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d32343535372d322d32
R1.07;RT1-B LAURENT NILS;20251013T080000Z;20251013T100000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31353039342d342d30
R1.07 TP;RT1-TP_B1 LAURENT NILS;20251021T120000Z;20251021T140000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31363633312d302d33
SAE1.02 PROJET;RT1-TP_A2;20251212T140000Z;20251212T150000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383436312d312d32
R1.02;RT1-TP_A1 CHAMBERT CHRISTOPHE;20251007T060000Z;20251007T100000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d333831332d302d31
SAE1.05 PROJET A1;RT1-TP_A1;20260106T140000Z;20260106T150000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32343336372d382d30
présentation TEDS;RT1-TP_B2;20251117T150000Z;20251117T160000Z;G_016;;ADE60323032352d3230323653542d455449454e4e452d343231332d302d30
Développer ses compétences informationnelles - autonomie;RT1-TP_A2;20251128T090000Z;20251128T110000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d34343537392d302d30
R1.03 DS TD;RT1-A AZZOUNI SOUMAYA;20251112T130000Z;20251112T140000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d32383636382d302d30
SAE1.03;RT1-TP_A1;20251117T130000Z;20251117T150000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383437352d302d33
SAE1.02 TP 4H;RT1-TP_A2 MATICHARD PIERRE-JEAN;20251217T130000Z;20251217T170000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d33343339312d302d30
R1.14;RT1-A GAULTIER BEATRICE;20251103T130000Z;20251103T150000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d3132372d302d34
SAE1.03;RT1-TP_B2;20251024T070000Z;20251024T080000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32313637382d312d33
R1.01c;RT1-TP_B1 MARTINI PIERRE;20251020T060000Z;20251020T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31303935352d302d35
R1.07 TP;RT1-TP_A1 LAURENT NILS;20251022T120000Z;20251022T140000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31363631382d302d35
Soutien RT1-RT2 (Non Obligatoire);RT1-S1;20251127T130000Z;20251127T170000Z;G_002\,D_110\,G_003\,G_004\,G_007\,D_028\,D_032;;ADE60323032352d3230323653542d455449454e4e452d31333036352d302d32
SAE1.05 4H PRESENTATION ORALE;RT1-TP_A1 BIARD MATHIEU;20260112T130000Z;20260112T170000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d32343538352d302d30
R1.07 TP;RT1-TP_A1 LAURENT NILS;20251106T070000Z;20251106T090000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31363631382d302d33
R1.09 (DS TP);RT1-TP_B1 LLORCA MAUD;20251024T130000Z;20251024T140000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d33303038342d302d30
R1.07 TP;RT1-TP_A2 AZZOUNI SOUMAYA;20251014T120000Z;20251014T140000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31363631392d302d31
R1.07 TP;RT1-TP_B1 LAURENT NILS;20251104T070000Z;20251104T090000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31363633312d302d3130
SAE1.01;RT1-TP_B2;20250912T140000Z;20250912T160000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d31363532362d302d30
R1.07;RT1-A LAURENT NILS;20251003T060000Z;20251003T080000Z;G_016;;ADE60323032352d3230323653542d455449454e4e452d31353037392d302d30
SAE1.02 TD;RT1-A MATICHARD PIERRE-JEAN;20251210T090000Z;20251210T100000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d36303230352d312d30
SAE1.04 PROJET;RT1-TP_A2;20251114T070000Z;20251114T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d33303532322d302d36
SAE1.05 PROJET A2;RT1-TP_A2;20260107T140000Z;20260107T150000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d32343535372d322d31
R1.03;RT1-B CHEMINEAU CHRISTOPHE;20251106T090000Z;20251106T110000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d32333436342d302d33
SAE1.01;RT1-TP_A1;20250923T080000Z;20250923T090000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31363531342d312d30
SAE1.01;RT1-TP_B2;20250916T080000Z;20250916T100000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31363532362d302d31
R1.04 TP;RT1-TP_A1 CHEVRIER JEAN-PIERRE;20251114T150000Z;20251114T170000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31313933302d302d32
R1.09;RT1-TP_A2 LLORCA MAUD;20251010T140000Z;20251010T160000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d32383430342d302d31
SAE1.05 PROJET B1;RT1-TP_B1;20260107T130000Z;20260107T140000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33363333382d382d30
SAE1.01 SUIVI;RT1-TP_A1 AZZOUNI SOUMAYA;20250919T090000Z;20250919T100000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31363533302d302d32
R1.07;RT1-B LAURENT NILS;20251003T080000Z;20251003T100000Z;G_016;;ADE60323032352d3230323653542d455449454e4e452d31353039342d312d30
R1.14;RT1-A GAULTIER BEATRICE;20250916T120000Z;20250916T140000Z;D_026;;ADE60323032352d3230323653542d455449454e4e452d3132372d302d33
Contrôle des Absences - Bureau de Mme Zeryouh;RT2-S3 RT1-S1 RT3-S5 ZERYOUH NEZHA;20250930T100000Z;20250930T103000Z;;;ADE60323032352d3230323653542d455449454e4e452d34393839392d302d31
R1.07;RT1-A LAURENT NILS;20250915T060000Z;20250915T080000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31353037392d332d30
R1.01b;RT1-B CHAMBERT CHRISTOPHE;20250908T080000Z;20250908T100000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343536322d312d30
R1.09;RT1-B LLORCA MAUD;20250926T120000Z;20250926T140000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31393938312d302d30
R1.04 TP;RT1-TP_B2 CHEVRIER JEAN-PIERRE;20251107T150000Z;20251107T170000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343633392d302d31
R1.14 (DS);RT1-S1 GAULTIER BEATRICE;20251107T090000Z;20251107T110000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d31343838362d302d30
R1.11 COMMUNICATION;RT1-A DIOLEZ JULIE;20251104T090000Z;20251104T110000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d34363837322d302d31
R1.08;RT1-TP_A2 MARTINI PIERRE;20250917T060000Z;20250917T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31363236312d302d35
R1.01c;RT1-TP_B1 MARTINI PIERRE;20251010T060000Z;20251010T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31303935352d302d33
R1.15;RT1-TP_B1 GUILLOT TIPHANIE;20251022T080000Z;20251022T100000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d35333836352d312d30
SAE1.02 SUIVI PROJET;RT1-TP_B2 MATICHARD PIERRE-JEAN;20251209T150000Z;20251209T160000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d32303335352d302d31
R1.04 PRE;RT1-A CHAMBERT CHRISTOPHE;20250903T140000Z;20250903T160000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d31343136342d302d31
SAE1.03 SUIVI;RT1-TP_A2 HEYRAUD CHRISTOPHE;20251121T150000Z;20251121T160000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32373836372d302d31
SAE1.05 SUIVI PROJET;RT1-TP_A1 BIARD MATHIEU;20260105T150000Z;20260105T160000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33353434372d302d32
R1.04 ELECTRONIQUE;RT1-A AZZOUNI SOUMAYA;20251117T070000Z;20251117T090000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d31333631332d302d32
R1.10;RT1-B KOTTI IMEN;20251023T080000Z;20251023T100000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d34353235332d372d30
R1.07 TP;RT1-TP_B1 LAURENT NILS;20251024T140000Z;20251024T160000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31363633312d302d39
SAE1.02 SUIVI PROJET;RT1-TP_B1 CHAMBERT CHRISTOPHE;20260106T160000Z;20260106T170000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d32303335332d302d33
R1.03;RT1-TP_A2 MATICHARD PIERRE-JEAN;20251117T130000Z;20251117T170000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31353936342d302d31
R1.08;RT1-B MARTINI PIERRE;20250912T060000Z;20250912T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31343633332d302d33
R1.01c;RT1-B MARTINI PIERRE;20251007T080000Z;20251007T100000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d32343334332d302d30
R1.07 TP;RT1-TP_B2 EL AMLI AMINE;20251105T150000Z;20251105T170000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31363633372d302d3130
SAE1.05 PROJET A1;RT1-TP_A1;20260108T090000Z;20260108T100000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32343336372d342d30
R1.10;RT1-TP_A1 TCHEN CASSANDRA;20251217T130000Z;20251217T150000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d33303233352d332d30
R1.07;RT1-B LAURENT NILS;20251008T120000Z;20251008T140000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31353039342d322d30
SAE1.01;RT1-TP_B1;20250909T070000Z;20250909T080000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31363532322d352d30
R1.02 DS TP;RT1-TP_A2 AZZOUNI SOUMAYA;20251015T110000Z;20251015T140000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31313632362d302d30
R1.11 Voltaire A2;BARNAY FABIENNE RT1-TP_A2;20251113T080000Z;20251113T090000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d36333637392d302d31
Développer ses compétences informationnelles;RT1-TP_A1 HEYRAUD CHRISTOPHE;20251013T060000Z;20251013T080000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d34343539342d302d30
Soutien RT1-RT2 (Non Obligatoire);RT1-S1;20251016T120000Z;20251016T160000Z;G_002\,D_110\,G_003\,G_019\,G_004\,G_007\,G_012;;ADE60323032352d3230323653542d455449454e4e452d31333036352d302d30
R1.15;RT1-B GUILLOT TIPHANIE;20251015T080000Z;20251015T100000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31393832302d332d30
R1.12 Présoutenance;RT1-B NEJJAR NABIH;20251201T090000Z;20251201T110000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d34393836362d302d30
SAE1.01;RT1-TP_A1;20250918T060000Z;20250918T080000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31363531342d302d31
R1.01c;RT1-B MARTINI PIERRE;20251006T080000Z;20251006T100000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d32343334332d302d33
SAE1.02 PROJET;RT1-TP_B2;20251208T140000Z;20251208T160000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31383436392d302d31
R1.14;RT1-S1 GAULTIER BEATRICE;20250922T080000Z;20250922T100000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d3431382d302d32
R1.05;RT1-TP_B2 HEYRAUD CHRISTOPHE;20251010T060000Z;20251010T090000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d3938322d302d30
R1.04 DS TP;RT1-TP_B2 CHEVRIER JEAN-PIERRE;20260109T150000Z;20260109T170000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d353830372d302d30
R1.03;RT1-TP_A1 CHEMINEAU CHRISTOPHE;20251126T130000Z;20251126T170000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31353936312d302d30
SAE1.04 PROJET;RT1-TP_B1;20251202T070000Z;20251202T080000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d33303532352d302d33
R1.03;RT1-TP_B2 CHEMINEAU CHRISTOPHE;20251119T070000Z;20251119T110000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31353937342d302d31
R1.15;RT1-B GUILLOT TIPHANIE;20251001T080000Z;20251001T100000Z;G_016;;ADE60323032352d3230323653542d455449454e4e452d31393832302d322d30
R1.03 DS TP;RT1-TP_A2 MATICHARD PIERRE-JEAN;20251201T130000Z;20251201T170000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d32383733312d302d30
R1.11 Voltaire A1;BARNAY FABIENNE RT1-TP_A1;20260114T140000Z;20260114T150000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d36333637372d302d32
R1.10;RT1-TP_A2 TCHEN CASSANDRA;20251218T080000Z;20251218T100000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d33313334382d332d30
R1.02;RT1-TP_A1 CHAMBERT CHRISTOPHE;20251008T120000Z;20251008T160000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d333831332d302d32
SAE1.04 PROJET;RT1-TP_A1;20251114T100000Z;20251114T110000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d33303531372d302d31
SAE1.01;RT1-TP_B1;20250912T140000Z;20250912T160000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31363532322d302d30
R1.01b;RT1-A AZZOUNI SOUMAYA;20250905T060000Z;20250905T080000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343536302d302d30
SAE1.05 SUIVI PROJET;RT1-TP_A2 BIARD MATHIEU;20260107T130000Z;20260107T140000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d33353435322d302d32
R1.02;RT1-S1 AZZOUNI SOUMAYA;20250923T140000Z;20250923T160000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d31343631342d302d30
SAE1.02 TD;RT1-A MATICHARD PIERRE-JEAN;20251208T130000Z;20251208T140000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d36303230352d302d30
SAE1.02 PROJET;RT1-TP_B1;20251212T080000Z;20251212T090000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31383436332d312d32
SAE1.03;RT1-TP_B1;20251119T070000Z;20251119T090000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32313233382d302d33
Campus Day;RT1-S1 RT2-S3 RT3-S5;20251009T100000Z;20251009T160000Z;;;ADE60323032352d3230323653542d455449454e4e452d32393137382d302d30
R1.04 TP;RT1-TP_B1 AZZOUNI SOUMAYA;20251124T150000Z;20251124T170000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31343633312d302d31
Intégration RT 1-2-3;RT1-S1 RT2-S3 RT3-S5 ZERYOUH NEZHA;20251002T113000Z;20251002T160000Z;;;ADE60323032352d3230323653542d455449454e4e452d33313632302d302d30
R1.06;RT1-TP_B1 CHAMBERT CHRISTOPHE;20251212T130000Z;20251212T170000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31343631322d302d30
SAE1.03;RT1-TP_B1;20251117T070000Z;20251117T080000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32313233382d312d30
R1.02 DS TP;RT1-TP_A1 CHAMBERT CHRISTOPHE;20251014T070000Z;20251014T100000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31313632322d302d30
R1.01c;RT1-A MARTINI PIERRE;20251009T080000Z;20251009T100000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31343538362d302d31
R1.03;RT1-S1 MATICHARD PIERRE-JEAN;20251103T070000Z;20251103T090000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d31323137342d302d30
R1.06;RT1-B HEYRAUD CHRISTOPHE;20251210T090000Z;20251210T110000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d35303739352d322d30
R1.07 TP;RT1-TP_B2 EL AMLI AMINE;20251014T140000Z;20251014T160000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31363633372d302d31
R1.07;RT1-A LAURENT NILS;20250919T120000Z;20250919T140000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d31353037392d362d30
R1.04 TP;RT1-TP_A1 CHEVRIER JEAN-PIERRE;20251017T140000Z;20251017T160000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31313933302d302d30
R1.10;RT1-TP_A1 TCHEN CASSANDRA;20260114T130000Z;20260114T140000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d33303233352d362d30
R1.04 PRE;RT1-A CHAMBERT CHRISTOPHE;20250908T140000Z;20250908T160000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d31343136342d302d32
R1.11 COMMUNICATION;RT1-A DIOLEZ JULIE;20251215T090000Z;20251215T110000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d34363837322d302d34
SAE1.02 SUIVI PROJET;RT1-TP_B2 MATICHARD PIERRE-JEAN;20251218T100000Z;20251218T110000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d32303335352d302d32
R1.03;RT1-TP_A2 MATICHARD PIERRE-JEAN;20251118T070000Z;20251118T110000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31353936342d302d32
SAE1.04 PROJET;RT1-TP_A1;20251114T090000Z;20251114T100000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d33303531372d302d32
SAE1.04;RT1-S1 MATICHARD PIERRE-JEAN;20251023T100000Z;20251023T110000Z;D_032;;ADE60323032352d3230323653542d455449454e4e452d32333032342d302d30
R1.08;RT1-TP_A1 MARTINI PIERRE;20250919T060000Z;20250919T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31363235372d302d32
R1.12 EN 2EME;RT1-B Armoire PC portable NEJJAR NABIH;20251008T080000Z;20251008T100000Z;G_011_AMPHI;;ADE60323032352d3230323653542d455449454e4e452d33303234382d302d30
R1.11 COMMUNICATION;RT1-B DIOLEZ JULIE;20251104T123000Z;20251104T143000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d34363837342d302d31
SAE1.02 PROJET;RT1-TP_B2;20251212T090000Z;20251212T100000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31383436392d332d30
R1.07 DS TP 2H;RT1-TP_A1 LAURENT NILS;20251112T090000Z;20251112T110000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d32333835322d302d30
R1.10;RT1-A TCHEN CASSANDRA;20251105T130000Z;20251105T150000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d32343039312d312d30
SAE1.05 PROJET A1;RT1-TP_A1;20260106T150000Z;20260106T170000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32343336372d322d30
R1.01b;RT1-B CHAMBERT CHRISTOPHE;20250905T060000Z;20250905T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31343536322d302d30
présentation TEDS;RT1-TP_A2;20251121T080000Z;20251121T090000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d343230382d302d30
SAE1.01 MIPE;RT1-B BIARD MATHIEU;20250902T140000Z;20250902T150000Z;G_016;;ADE60323032352d3230323653542d455449454e4e452d32383038392d302d30
SAE1.PORTFOLIO en 1ER;RT1-TP_A1 MATICHARD PIERRE-JEAN;20251010T140000Z;20251010T160000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d383133342d302d30
R1.11 COMMUNICATION;RT1-A DIOLEZ JULIE;20250902T080000Z;20250902T100000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d34363837322d302d30
SAE1.02 PROJET;RT1-TP_A2;20251209T150000Z;20251209T170000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31383436312d302d31
SAE1.01 SUIVI;RT1-TP_A2 AZZOUNI SOUMAYA;20250919T060000Z;20250919T070000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31363533342d302d32
R1.01c TP DS;RT1-TP_A2 MARTINI PIERRE;20251024T120000Z;20251024T140000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d35363431392d302d30
SAE1.02 PROJET;RT1-TP_B2;20251217T090000Z;20251217T100000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383436392d312d31
R1.11 Voltaire A1;BARNAY FABIENNE RT1-TP_A1;20251113T070000Z;20251113T080000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d36333637372d302d36
R1.02;RT1-B CHAMBERT CHRISTOPHE;20250930T080000Z;20250930T100000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d34313838352d302d31
SAE1.02 PROJET;RT1-TP_B1;20251212T070000Z;20251212T080000Z;G_019;;ADE60323032352d3230323653542d455449454e4e452d31383436332d312d31
SAE1.04 PROJET;RT1-TP_A2;20251204T080000Z;20251204T090000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d33303532322d302d33
R1.09;RT1-B LLORCA MAUD;20250926T140000Z;20250926T160000Z;G_004;;ADE60323032352d3230323653542d455449454e4e452d31393938312d302d31
R1.07 TP;RT1-TP_B2 EL AMLI AMINE;20251017T070000Z;20251017T090000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31363633372d302d30
SAE1.02 PROJET;RT1-TP_B2;20251211T080000Z;20251211T090000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383436392d322d30
SAE1.05 TP 2H;RT1-TP_B2 BIARD MATHIEU;20251217T070000Z;20251217T090000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d34353233322d302d30
R1.07 TP;RT1-TP_B1 LAURENT NILS;20251103T150000Z;20251103T170000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d31363633312d302d37
R1.14;RT1-TP_A2 armoire PC JOKER GAULTIER BEATRICE;20250917T080000Z;20250917T100000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d31343834382d302d30
R1.07;RT1-A LAURENT NILS;20251008T060000Z;20251008T080000Z;G_003;;ADE60323032352d3230323653542d455449454e4e452d31353037392d322d30
SAE1.05 4H PRESENTATION ORALE;RT1-TP_A2 BIARD MATHIEU;20260113T130000Z;20260113T170000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d32393439352d302d30
R1.06;RT1-TP_A2 CHAMBERT CHRISTOPHE;20260108T070000Z;20260108T110000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d31343631312d302d30
SAE1.04 SUIVI PROJET;RT1-TP_A1 MATICHARD PIERRE-JEAN;20251113T080000Z;20251113T090000Z;G_002;;ADE60323032352d3230323653542d455449454e4e452d33303532392d302d30
R1.01c TP DS;RT1-TP_B2 MARTINI PIERRE;20251024T080000Z;20251024T100000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d35363431372d302d30
R1.03;RT1-A AZZOUNI SOUMAYA;20251103T090000Z;20251103T110000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31353537332d302d30
SAE1.02 PROJET;RT1-TP_A2;20251215T070000Z;20251215T080000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31383436312d312d30
Integ'Roanne;RT1-S1;20250909T100000Z;20250909T160000Z;;;ADE60323032352d3230323653542d455449454e4e452d32393038352d302d30
SAE1.05 PROJET B1;RT1-TP_B1;20251217T130000Z;20251217T150000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d33363333382d302d30
SAE1.04 PROJET;RT1-TP_A2;20251112T140000Z;20251112T150000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33303532322d302d32
R1.13 TDB;RT1-B GRIZONNET YANN;20251022T140000Z;20251022T160000Z;D_028;;ADE60323032352d3230323653542d455449454e4e452d313235322d302d35
SAE1.05 PROJET A1;RT1-TP_A1;20251216T150000Z;20251216T170000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d32343336372d302d30
SAE1.05 SUIVI PROJET;RT1-TP_A1 BIARD MATHIEU;20260106T130000Z;20260106T140000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d33353434372d302d33
R1.04 PRE QCM;RT1-B HEYRAUD CHRISTOPHE;20250915T080000Z;20250915T090000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d31363235302d302d30
SAE1.02 PROJET;RT1-TP_B1;20260105T140000Z;20260105T150000Z;G_012;;ADE60323032352d3230323653542d455449454e4e452d31383436332d322d30
SAE1.03;RT1-TP_A1;20251020T150000Z;20251020T160000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383437352d312d33
SAE1.03;RT1-TP_A1;20251118T150000Z;20251118T170000Z;G_007;;ADE60323032352d3230323653542d455449454e4e452d31383437352d302d32
Développer ses compétences informationnelles;RT1-TP_A2 BIARD MATHIEU;20251021T120000Z;20251021T140000Z;D_110;;ADE60323032352d3230323653542d455449454e4e452d34343539362d302d30
